k_mse
727613.0924918395
721330.7142382616
711559.2562037396
686237.8174595757
665775.2465077003
634493.8711358693
613685.7904568213
604922.5321861283
587105.5894514
567320.399024981
549518.2569288813
540029.2809437257
527650.6595576856
520003.7144996036
503856.70292446273
495336.6533520812
489735.4709214274
484714.0203545834
475429.78749171307
471549.1715217476
459648.2384945121
458118.630221571
452404.4543452505
439523.9812854166
438324.2606865942
429613.1683172195
428789.2691639933
424577.62137076934
418107.1211996948
417660.1764938115
407379.23459493456
410114.9714799743
405168.0503261072
401037.13997623953
391828.145616739
389933.6001973828
386338.7256619191
392411.87840664387
382481.18254781736
385015.971048164
377133.9031487873
378569.1300424562
370882.4508073829
368185.69780472404
367083.9472737887
362394.7702645196
360787.0838140142
361897.9248850718
355650.4988893978
356710.524300641
359109.0508388735
350947.5683827079
350629.39451764035
347729.58398727333
342456.5161263619
342777.9130047286
338938.12629720534
339659.77604945377
336367.35237475974
335595.6673899269
337938.34192022233
338764.468009744
328415.9853366835
324044.0810151966
324432.19331523037
326819.31275134214
328554.2650393859
321150.0250277289
317795.7162718026
318526.61396285525
320016.069924139
319703.3210805022
315656.20789757656
314869.96145125723
310244.98933456274
310881.23891665874
310529.39981836855
308523.11072186247
310542.81680859777
306362.65722389735
302866.3891331187
304940.19994564244
300752.6252062737
298221.6726334739
296636.31462230155
297719.6524277224
291812.73659094964
291354.46134059003
293034.7569097639
284444.09090151044
287552.8930009303
288911.69641579635
287759.28167165455
281297.3630156724
283184.7597052942
279580.7456965665
283207.84878068406
285526.4726484382
282697.9265860706
277963.9046499381
727613.0924918395
721330.7142382616
711559.2562037396
686237.8174595757
665775.2465077003
634493.8711358693
613685.7904568213
604922.5321861283
587105.5894514
567320.399024981
549518.2569288813
540029.2809437257
527650.6595576856
520003.7144996036
503856.70292446273
495336.6533520812
489735.4709214274
484714.0203545834
475429.78749171307
471549.1715217476
459648.2384945121
458118.630221571
452404.4543452505
439523.9812854166
438324.2606865942
429613.1683172195
428789.2691639933
424577.62137076934
418107.1211996948
417660.1764938115
407379.23459493456
410114.9714799743
405168.0503261072
401037.13997623953
391828.145616739
389933.6001973828
386338.7256619191
392411.87840664387
382481.18254781736
385015.971048164
377133.9031487873
378569.1300424562
370882.4508073829
368185.69780472404
367083.9472737887
362394.7702645196
360787.0838140142
361897.9248850718
355650.4988893978
356710.524300641
359109.0508388735
350947.5683827079
350629.39451764035
347729.58398727333
342456.5161263619
342777.9130047286
338938.12629720534
339659.77604945377
336367.35237475974
335595.6673899269
337938.34192022233
338764.468009744
328415.9853366835
324044.0810151966
324432.19331523037
326819.31275134214
328554.2650393859
321150.0250277289
317795.7162718026
318526.61396285525
320016.069924139
319703.3210805022
315656.20789757656
314869.96145125723
310244.98933456274
310881.23891665874
310529.39981836855
308523.11072186247
310542.81680859777
306362.65722389735
302866.3891331187
304940.19994564244
300752.6252062737
298221.6726334739
296636.31462230155
297719.6524277224
291812.73659094964
291354.46134059003
293034.7569097639
284444.09090151044
287552.8930009303
288911.69641579635
287759.28167165455
281297.3630156724
283184.7597052942
279580.7456965665
283207.84878068406
285526.4726484382
282697.9265860706
277963.9046499381
