allK,k_mse
1,159030312.27000126
2,158947912.96820343
3,158995811.0505064
4,158973278.7797949
5,159065923.54944608
6,159009483.2119192
7,159134053.20225045
8,159037302.85256055
9,159111150.65697375
10,159112900.66702092
11,159252897.19879436
12,159143261.48252118
13,159200779.87440476
14,159231946.72512662
15,159301934.43450916
16,159324752.99238837
17,159629549.29811326
18,159474237.57166806
19,159609950.3319232
20,159555132.94775358
