allK,k_mse
481,163766953.91174015
482,163725450.80584574
483,163748224.09970012
484,163732440.162619
485,163710414.44477406
486,163744174.19356027
487,163755879.62366351
488,163757084.93071118
489,163764286.17460474
490,163732913.34219298
